Epoch: 948/1001, Batch: 19/35, Loss: 1.286218, img_l1_loss: 0.097748, img_pt_c_loss: 0.044951, svg_total_loss: 0.581487, svg_cmd_loss: 0.065944, svg_args_loss: 0.435096, svg_smooth_loss: 0.079599, svg_aux_loss: 0.000849, lr: 0.000149, Step: 33200
Epoch: 949/1001, Batch: 34/35, Loss: 1.324601, img_l1_loss: 0.098262, img_pt_c_loss: 0.041611, svg_total_loss: 0.596841, svg_cmd_loss: 0.027798, svg_args_loss: 0.486070, svg_smooth_loss: 0.082052, svg_aux_loss: 0.000921, lr: 0.000149, Step: 33250
Epoch: 951/1001, Batch: 14/35, Loss: 1.241562, img_l1_loss: 0.095803, img_pt_c_loss: 0.043363, svg_total_loss: 0.567591, svg_cmd_loss: 0.033879, svg_args_loss: 0.456211, svg_smooth_loss: 0.076959, svg_aux_loss: 0.000541, lr: 0.000148, Step: 33300
Epoch: 952/1001, Batch: 29/35, Loss: 1.179727, img_l1_loss: 0.093691, img_pt_c_loss: 0.044272, svg_total_loss: 0.532421, svg_cmd_loss: 0.014871, svg_args_loss: 0.430694, svg_smooth_loss: 0.086458, svg_aux_loss: 0.000398, lr: 0.000147, Step: 33350
Epoch: 954/1001, Batch: 9/35, Loss: 1.188371, img_l1_loss: 0.103876, img_pt_c_loss: 0.044812, svg_total_loss: 0.535513, svg_cmd_loss: 0.031803, svg_args_loss: 0.422999, svg_smooth_loss: 0.080220, svg_aux_loss: 0.000490, lr: 0.000146, Step: 33400
Epoch: 955/1001, Batch: 24/35, Loss: 1.179183, img_l1_loss: 0.091539, img_pt_c_loss: 0.040243, svg_total_loss: 0.552341, svg_cmd_loss: 0.019996, svg_args_loss: 0.437961, svg_smooth_loss: 0.092884, svg_aux_loss: 0.001500, lr: 0.000146, Step: 33450
Epoch: 957/1001, Batch: 4/35, Loss: 1.346049, img_l1_loss: 0.107991, img_pt_c_loss: 0.041169, svg_total_loss: 0.611451, svg_cmd_loss: 0.021618, svg_args_loss: 0.476317, svg_smooth_loss: 0.110544, svg_aux_loss: 0.002972, lr: 0.000145, Step: 33500
Epoch: 958/1001, Batch: 19/35, Loss: 1.252139, img_l1_loss: 0.082423, img_pt_c_loss: 0.037519, svg_total_loss: 0.572866, svg_cmd_loss: 0.056007, svg_args_loss: 0.445450, svg_smooth_loss: 0.070878, svg_aux_loss: 0.000531, lr: 0.000145, Step: 33550
Epoch: 959/1001, Batch: 34/35, Loss: 1.308599, img_l1_loss: 0.100656, img_pt_c_loss: 0.042131, svg_total_loss: 0.589693, svg_cmd_loss: 0.028947, svg_args_loss: 0.468636, svg_smooth_loss: 0.089247, svg_aux_loss: 0.002862, lr: 0.000144, Step: 33600
Epoch: 961/1001, Batch: 14/35, Loss: 1.076102, img_l1_loss: 0.086046, img_pt_c_loss: 0.036709, svg_total_loss: 0.487885, svg_cmd_loss: 0.033000, svg_args_loss: 0.385200, svg_smooth_loss: 0.068757, svg_aux_loss: 0.000928, lr: 0.000143, Step: 33650
